id,key,value,type
153593787,Class,Populated Place,gnis
153593787,County,St. Tammany,gnis
153593787,ST_num,22,gnis
153593787,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153593787,ST_alpha,LA,gnis
153593787,County_num,103,gnis
153608921,ele,6,regular
153608921,name,Ozone Pines,regular
153608921,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153608921,place,hamlet,regular
153608921,id,1628989,gnis
153608921,Class,Populated Place,gnis
153608921,County,St. Tammany,gnis
153608921,ST_num,22,gnis
153608921,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153608921,ST_alpha,LA,gnis
153608921,County_num,103,gnis
153620755,ele,1,regular
153620755,name,Spanish Trail Highlands,regular
153620755,is_in,"St. Tammany,Louisiana,La.,LA,USA",regular
153620755,place,hamlet,regular
153620755,id,1629036,gnis
153620755,Class,Populated Place,gnis
153620755,County,St. Tammany,gnis
153620755,ST_num,22,gnis
153620755,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153620755,ST_alpha,LA,gnis
153620755,County_num,103,gnis
153640990,ele,2,regular
153640990,name,Christi Ann Lea,regular
